X,name
1912,Elina
1913,Elinor
1914,Elinore
1915,Elisa
1916,Elisabeth
1917,Elise
1918,Eliseo
1919,Elisha
1921,Elissa
1922,Eliz
1923,Eliza
1924,Elizabet
1925,Elizabeth
1926,Elizbeth
1927,Elizebeth
1928,Elke
1929,Ella
1930,Ellamae
1931,Ellan
1932,Ellen
1933,Ellena
1935,Ellie
1936,Elliot
1937,Elliott
1938,Ellis
1940,Ellsworth
1941,Elly
1942,Ellyn
1943,Elma
1944,Elmer
1946,Elmira
1947,Elmo
1948,Elna
1949,Elnora
1950,Elodia
1951,Elois
1952,Eloisa
1953,Eloise
1954,Elouise
1955,Eloy
1956,Elroy
1957,Elsa
1958,Else
1959,Elsie
1960,Elsy
1961,Elton
1962,Elva
1963,Elvera
1964,Elvia
1965,Elvie
1966,Elvin
1967,Elvina
1968,Elvira
1969,Elvis
1970,Elwanda
1971,Elwood
1972,Elyse
1973,Elza
1974,Ema
1975,Emanuel
1976,Emelda
1977,Emelia
1978,Emelina
1979,Emeline
1980,Emely
1981,Emerald
1982,Emerita
1983,Emerson
1984,Emery
1985,Emiko
1986,Emil
1987,Emile
1988,Emilee
1989,Emilia
1990,Emilie
1991,Emilio
1992,Emily
1994,Emmaline
1995,Emmanuel
1996,Emmett
1997,Emmie
1998,Emmitt
1999,Emmy
2000,Emogene
2001,Emory
2002,Ena
2003,Enda
2004,Enedina
2005,Eneida
2006,Enid
2007,Enoch
2008,Enola
2009,Enrique
2010,Enriqueta
2011,Epifania
